Title,Console,Zone,Price,,,,,,,
Wipeout,sat,PAL,15,,235,,,,,
Final Fantasy 4,snes,JP,40,,,,,,,
Final Fantasy 5,snes,JP,40,,,,,,,
Final Fantasy 6,snes,JP,65,,145,,,,,
Plok,snes,PAL,25,,,,,,,
Secret of Evermore,snes,PAL,85,,,,,,,
The Firemen,snes,PAL,50,,,,,,,
The Legend of Zelda: A Link to the Past,snes,PAL,45,,,,,,,
Unirally,snes,PAL,35,,,,,,,
Excite Truck,wii,PAL,15,,,,,,,
Metroid Other M,wii,PAL,10,,,,,,,
Muramasa: The demon blade,wii,PAL,15,,,,,,,
Naruto Clash of the Ninja Revolution 2,wii,PAL,15,,,,,,,
Red Steel,wii,PAL,5,,,,,,,
The house of the dead: Overkill,wii,PAL,10,,,,,,,
The legend of Zelda: Twilight Princess,wii,PAL,15,,,,,,,
Wii Sports,wii,PAL,7,,,,,,,
No More Heroes,wii ,PAL,5,,,,,,,
Conker Live and Reloaded,xbox,PAL,45,,,,,,,
Dead or Alive 3,xbox,PAL,10,,,,,,,
Dead or Alive Ultimate,xbox,PAL,20,collector edition,,,,,,
Fable,xbox,PAL,15,,,,,,,
Fable: The lost chapters,xbox,PAL,20,,,,,,,
Half-Life 2,xbox,PAL,10,,,,,,,
Marvel vs Capcom 2,xbox,PAL,35,,,,,,,
Midway Arcade Treasures 3,xbox,PAL,10,,,,,,,
Mortal Kombat Shaolin Monks,xbox,PAL,15,,,,,,,
Outrun 2006: Coast to coast,xbox,PAL,15,,,,,,,
Painkiller,xbox,PAL,10,,,,,,,
Panzer Draggon Orta,xbox,PAL,10,,,,,,,
Rayman 3: Hoodlum Havoc,xbox,PAL,15,,,,,,,
SSX On Tour,xbox,PAL,10,,,,,,,
Star Wars Episode 3,xbox,PAL,15,,,,,,,
Afro Samurai,xbox360,PAL,7,,,,,,,
Assassin's Creeed,xbox360,PAL,7,,,,,,,
Batman: Arkham Asylum,xbox360,PAL,10,,,,,,,
Bayonetta,xbox360,PAL,15,,,,,,,
Bioshock,xbox360,PAL,10,,,,,,,
Bioshock,xbox360,PAL,15,metal box,,,,,,
Bioshock 2,xbox360,PAL,7,,,,,,,
Blazblue Continuum Shift,xbox360,PAL,20,collector,,,,,,
Blur,xbox360,PAL,15,,,,,,,
Dead or Alive 4,xbox360,PAL,7,,,,,,,
Gears of War,xbox360,PAL,5,,,,,,,
Halo 3 ODST,xbox360,PAL,5,,,,,,,
Mass Effect,xbox360,PAL,10,,,,,,,
Mortal Kombat,xbox360,PAL,10,,,,,,,
Mortal Kombat vs DC Univers,xbox360,PAL,7,,,,,,,
Need for Speed: Hot Pursuit,xbox360,PAL,7,,,,,,,
Prince of Persia,xbox360,PAL,5,,,,,,,
Prince of Persia: The forgotten Sands,xbox360,PAL,5,,,,,,,
Pure,xbox360,PAL,5,,,,,,,
Rage,xbox360,PAL,7,,,,,,,
Star Wars: Le pouvoir de la force,xbox360,PAL,15,,,,,,,
Street Fighter IV,xbox360,PAL,7,,,,,,,
Super Street Fighter IV: Arcade Edition,xbox360,PAL,10,,,,,,,
Vanquish,xbox360,PAL,7,,,,,,,
